filename,width,height,class,xmin,ymin,xmax,ymax
1115361d-c898-4f89-956b-dd1e09f5ece4 (1).jpg,600,383,Name,162.27545166015625,91.70423126220703,302.9940185546875,110.88419342041016
1115361d-c898-4f89-956b-dd1e09f5ece4 (1).jpg,600,383,FatherName,159.2814483642578,169.02346801757812,292.215576171875,191.2003173828125
1115361d-c898-4f89-956b-dd1e09f5ece4 (1).jpg,600,383,Gender,162.27545166015625,246.34271240234375,178.443115234375,267.9201965332031
1115361d-c898-4f89-956b-dd1e09f5ece4 (1).jpg,600,383,CountryOfStay,220.9580841064453,248.74021911621094,285.0299377441406,268.5195617675781
1115361d-c898-4f89-956b-dd1e09f5ece4 (1).jpg,600,383,IdentityNumber,156.88623046875,293.0939025878906,289.2215576171875,315.2707214355469
1115361d-c898-4f89-956b-dd1e09f5ece4 (1).jpg,600,383,DOB,302.39520263671875,293.6932678222656,392.8143615722656,315.8701171875
1115361d-c898-4f89-956b-dd1e09f5ece4 (1).jpg,600,383,Pakistan_CNIC,2.994011878967285,1.7981220483779907,600.0,379.40374755859375
1486eebd93494b6737978760e702132d.jpg,398,250,Name,113.0,58.0,170.0,73.0
1486eebd93494b6737978760e702132d.jpg,398,250,FatherName,113.0,107.0,212.0,126.0
1486eebd93494b6737978760e702132d.jpg,398,250,Gender,110.0,160.0,126.0,174.0
1486eebd93494b6737978760e702132d.jpg,398,250,DOB,203.0,190.0,265.0,207.0
1486eebd93494b6737978760e702132d.jpg,398,250,IdentityNumber,105.0,192.0,197.0,207.0
1486eebd93494b6737978760e702132d.jpg,398,250,CountryOfStay,150.0,162.0,196.0,178.0
1486eebd93494b6737978760e702132d.jpg,398,250,Pakistan_CNIC,1.0,5.0,394.0,245.0
189381_1_70996.jpg,600,397,Name,170.08546447753906,91.54956817626953,272.6495666503906,113.79525756835938
189381_1_70996.jpg,600,397,FatherName,170.94017028808594,160.8534393310547,292.30767822265625,189.9439697265625
189381_1_70996.jpg,600,397,Gender,170.94017028808594,239.5689697265625,190.59829711914062,260.10345458984375
189381_1_70996.jpg,600,397,DOB,310.25640869140625,286.6271667480469,388.0341796875,306.3060302734375
189381_1_70996.jpg,600,397,IdentityNumber,172.64956665039062,284.91595458984375,293.1623840332031,303.7392272949219
189381_1_70996.jpg,600,397,CountryOfStay,227.3504180908203,239.5689697265625,290.5982971191406,260.10345458984375
189381_1_70996.jpg,600,397,Pakistan_CNIC,5.982905864715576,13.689655303955078,582.906005859375,371.3318786621094
708515c93da74a1ea9731dec6b2112b1.jpg,600,465,Name,185.80645751953125,156.9375,346.45159912109375,186.0
708515c93da74a1ea9731dec6b2112b1.jpg,600,465,FatherName,185.80645751953125,241.21875,307.741943359375,262.53125
708515c93da74a1ea9731dec6b2112b1.jpg,600,465,Gender,171.29031372070312,298.375,190.64515686035156,326.46875
708515c93da74a1ea9731dec6b2112b1.jpg,600,465,DOB,319.3548583984375,354.5625,420.9677429199219,378.78125
708515c93da74a1ea9731dec6b2112b1.jpg,600,465,IdentityNumber,156.77418518066406,356.5,300.0,378.78125
